FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
2508,1,23413845.000000000000000, ,school,-0.341364300000000,39.470104999999997,-0.341288800000000,39.470083000000002
2509,202,1240815111.000000000000000, ,roof,-0.341379800000000,39.470050700000002,-0.341389400000000,39.470053499999999
2510,202,1240815111.000000000000000, ,roof,-0.341389400000000,39.470053499999999,-0.341364300000000,39.470104999999997
2511,202,1240815111.000000000000000, ,roof,-0.341364300000000,39.470104999999997,-0.341288800000000,39.470083000000002
2512,203,1240815112.000000000000000, ,roof,-0.341379800000000,39.470050700000002,-0.341389400000000,39.470053499999999
2513,203,1240815112.000000000000000, ,roof,-0.341389400000000,39.470053499999999,-0.341364300000000,39.470104999999997
2514,203,1240815112.000000000000000, ,roof,-0.341364300000000,39.470104999999997,-0.341288800000000,39.470083000000002
2515,197,1240815103.000000000000000, , ,-0.340463200000000,39.470112000000000,-0.340513300000000,39.470009800000000
2516,198,1240815104.000000000000000, , ,-0.340463200000000,39.470112000000000,-0.340513300000000,39.470009800000000
2517,1,23413845.000000000000000, ,school,-0.340463200000000,39.470112000000000,-0.340268000000000,39.470053200000002
2518,198,1240815104.000000000000000, , ,-0.340463200000000,39.470112000000000,-0.340268000000000,39.470053200000002
2519,203,1240815112.000000000000000, ,roof,-0.340463200000000,39.470112000000000,-0.340268000000000,39.470053200000002
2520,1,23413845.000000000000000, ,school,-0.341138300000000,39.470136099999998,-0.341219500000000,39.469964400000002
2521,1,23413845.000000000000000, ,school,-0.341219500000000,39.469964400000002,-0.341009000000000,39.469900799999998
2522,1,23413845.000000000000000, ,school,-0.341009000000000,39.469900799999998,-0.340924300000000,39.470072700000003
2523,1,23413845.000000000000000, ,school,-0.340924300000000,39.470072700000003,-0.340731400000000,39.470016600000001
2524,1,23413845.000000000000000, ,school,-0.340731400000000,39.470016600000001,-0.340783700000000,39.469908699999998
2525,203,1240815112.000000000000000, ,roof,-0.341138300000000,39.470136099999998,-0.341219500000000,39.469964400000002
2526,203,1240815112.000000000000000, ,roof,-0.341219500000000,39.469964400000002,-0.341009000000000,39.469900799999998
2527,203,1240815112.000000000000000, ,roof,-0.341009000000000,39.469900799999998,-0.340924300000000,39.470072700000003
2528,203,1240815112.000000000000000, ,roof,-0.340924300000000,39.470072700000003,-0.340731400000000,39.470016600000001
2529,203,1240815112.000000000000000, ,roof,-0.340731400000000,39.470016600000001,-0.340783700000000,39.469908699999998
2530,1,23413845.000000000000000, ,school,-0.340691900000000,39.470062900000002,-0.340942800000000,39.470136599999996
2531,199,1240815105.000000000000000, , ,-0.340691900000000,39.470062900000002,-0.340942800000000,39.470136599999996
2532,200,1240815106.000000000000000, , ,-0.340691900000000,39.470062900000002,-0.340942800000000,39.470136599999996
2533,203,1240815112.000000000000000, ,roof,-0.340691900000000,39.470062900000002,-0.340942800000000,39.470136599999996
2534,197,1240815103.000000000000000, , ,-0.340691900000000,39.470062900000002,-0.340642900000000,39.470164300000000
2535,199,1240815105.000000000000000, , ,-0.340691900000000,39.470062900000002,-0.340642900000000,39.470164300000000
2536,200,1240815106.000000000000000, , ,-0.340691900000000,39.470062900000002,-0.340642900000000,39.470164300000000
2537,1,23413845.000000000000000, ,school,-0.340642900000000,39.470164300000000,-0.340463200000000,39.470112000000000
2538,197,1240815103.000000000000000, , ,-0.340642900000000,39.470164300000000,-0.340463200000000,39.470112000000000
2539,203,1240815112.000000000000000, ,roof,-0.340642900000000,39.470164300000000,-0.340463200000000,39.470112000000000
2540,137,689178635.000000000000000, ,apartments,-0.342491900000000,39.470168800000003,-0.342582800000000,39.469982000000002
2541,139,689178637.000000000000000, ,apartments,-0.342491900000000,39.470168800000003,-0.342582800000000,39.469982000000002
2542,138,689178636.000000000000000, , ,-0.342131500000000,39.470064100000002,-0.342491900000000,39.470168800000003
2543,139,689178637.000000000000000, ,apartments,-0.342131500000000,39.470064100000002,-0.342491900000000,39.470168800000003
2544,1,23413845.000000000000000, ,school,-0.341288800000000,39.470083000000002,-0.341248000000000,39.470169100000000
2545,1,23413845.000000000000000, ,school,-0.341248000000000,39.470169100000000,-0.341138300000000,39.470136099999998
2546,203,1240815112.000000000000000, ,roof,-0.341288800000000,39.470083000000002,-0.341248000000000,39.470169100000000
2547,203,1240815112.000000000000000, ,roof,-0.341248000000000,39.470169100000000,-0.341138300000000,39.470136099999998
2548,14,297889458.000000000000000, ,apartments,-0.341520400000000,39.470190199999998,-0.341411200000000,39.470157999999998
2549,14,297889458.000000000000000, ,apartments,-0.341411200000000,39.470157999999998,-0.341395500000000,39.470153600000003
2550,14,297889458.000000000000000, ,apartments,-0.341395500000000,39.470153600000003,-0.341527400000000,39.469884000000000
2551,14,297889458.000000000000000, ,apartments,-0.341527400000000,39.469884000000000,-0.341543400000000,39.469888800000000
2552,14,297889458.000000000000000, ,apartments,-0.341543400000000,39.469888800000000,-0.341652500000000,39.469920799999997
2553,14,297889458.000000000000000, ,apartments,-0.341652500000000,39.469920799999997,-0.341667600000000,39.469925600000003
